,mean_error,mean_error_percent,max_error,r2_score
1,263772.89703527808888,2.3517976776515454596,755067.3342216053279,0.07165278629787985576
2,13172327910964.1875,84612459.04698419571,3.4788117331934472e+16,-4.583848714774354944e+18
3,259921.53883153307834,3.2922099238594726422,821746.8349938564934,0.082790752618433605114
4,258293.99812533330987,3.223906717232561725,720441.77495140582323,0.08037267323846664091
5,258165.28398369520437,2.7616118709091566075,736125.64449781924486,0.083114583347866033414
6,56371814995031.726562,362104384.79793024063,1.48877962708004864e+17,-8.350784273292012749e+19
7,258780.01338466844754,2.3523193713682193362,720036.48603264964186,0.09337767838225374817
8,259950.0871697581315,2.777244734257442893,769815.38697871845216,0.075038458564204879586
9,256437.81040698062861,4.125170372720475598,791829.42029322101735,0.09625595387182317442
10,260043.95814950673957,3.3470804773279421163,735309.7765150141204,0.057034062033405219516
11,257404.86429870294523,5.028551006604684126,740710.464712287765,0.07888867536276278347
12,260563.9635061827139,2.832886288228040339,845923.0750457047252,0.0910945738539156169
13,10701057820656.183594,68738251.824131920934,2.8250791960158324e+16,-3.0273441331716608e+18
14,260189.68832424192806,3.2946004794855752174,768980.33666573255323,0.08847630767028957788
15,258240.28313873970183,2.0939615822502495313,739237.2957506396342,0.06688361305070367191
16,259651.36406640717178,2.792665685931858377,781833.45423485687934,0.067577918499890032855
17,256645.18861781715532,5.5210643814874948987,775486.2271489055129,0.099354511852161819796
18,1133855760744.5817871,7283323.5812929859385,2993378516450790.5,-3.3633982219850312e+16
19,259732.7227607430832,3.1859039213262216883,749541.1392339760205,0.0724310636832566912
20,256315.48768424446462,2.2766867978465810118,717111.161130613531,0.085802776413267611844
21,259501.80492593767121,3.2917145566564194326,723355.04631966818124,0.096949993364306097376
22,253281.55560374105698,2.813137256186482471,757902.5564070646651,0.09281980928935051889
23,264124.14427660830552,5.985677304102604346,753418.6039972321596,0.0531641791904599037
24,263145.61253086279612,2.176939493347604948,795653.0399744831957,0.08364849095005333357
25,5859704766378.4208984,37639817.173018805683,1.5469619896633932e+16,-9.18625053923512064e+17
