,mean_error,mean_error_percent,max_error,r2_score
1,154323.59412344932207,8.671576494973724181,495960.42574048863025,0.07034718284756580342
2,4067145380374.3500977,23118081.729755293578,1.0741330548563164e+16,-1.235314713033392896e+18
3,156845.68848678222275,1.9877896847966749494,528227.65108339488506,0.06610676145073646204
4,154178.32542776846094,3.0913222365084167542,570809.53121689450927,0.067980421855804662457
5,157175.83352337768883,1.6136421992471547959,555671.6933386201272,0.07531654330322046231
6,36802576375493.296875,209189707.82311087847,9.7195603793528e+16,-9.694384530885638554e+19
7,152837.41278654808411,1.7507689888956436963,468124.13367624592502,0.077152640163266617
8,156406.34128258939018,8.124569826447412879,546005.617364460486,0.061029736493883990356
9,152767.58963914771448,2.2368467678539016852,532585.9563633380458,0.07444051482315072743
10,156311.15018360677641,3.0398337758903268835,537685.849658442894,0.054135357158841324043
11,154116.65457217386574,1.5807075530756946602,547600.0563048883341,0.063961664011017216325
12,156338.5796205419465,1.9388848005268661812,533341.10744752921164,0.07828038669212378231
13,11689991669692.5234375,66447147.020624540746,3.086157759760566e+16,-9.753179310515023872e+18
14,155682.45935403433396,2.9381545148670942247,556834.23181262868457,0.0716399077199471046
15,151423.43114445937681,1.8314037041399418015,590758.6389868002152,0.06643076186931817784
16,157152.47783214299125,1.8550317763462798037,512314.86655715235975,0.06259795089712050231
17,151993.026314697403,1.5651677203867206956,522041.47996751323808,0.08356634864100243032
18,2696269585129.241211,15325886.719089712948,7118151293999722.0,-5.24011889760641344e+17
19,155925.72294143057661,1.7422211569990622149,530001.44374805665575,0.055986522742754396553
20,153156.47813628861331,2.524796903837828399,565360.20797835604753,0.078393514525294194506
21,154459.21008375484962,1.5756601651833319622,529041.4883309126599,0.07028551041957964429
22,151085.71071053735795,8.29686700287883383,472093.84385284711607,0.079960045971898874306
23,157494.54234221854131,2.7899261869892213461,567836.13927987695206,0.03673721627086512509
24,157623.86883533466607,1.3470769048162445358,618271.51474637840874,0.070260157148259616555
25,746696192278.59265137,4244300.603451945819,1971277536171315.25,-4.038282498595188e+16
